color,0,255,0
4,166,1,143
1,143,5,114
5,114,14,83
14,83,29,57
29,57,58,30
58,30,88,12
88,12,114,5
114,5,143,2
143,2,170,5
170,5,201,15
201,15,225,30
225,30,252,57
252,57,273,87
273,87,277,113
183,10,190,21
190,21,201,18
200,15,208,36
206,30,219,26
217,26,225,49
232,38,264,114
264,114,276,111
276,111,250,58
237,79,248,105
248,105,225,112
225,112,220,98
231,95,237,108
242,91,253,88
6,171,12,198
12,198,30,226
30,226,58,254
58,254,86,270
86,270,113,280
113,280,140,282
140,282,170,280
170,280,198,270
198,270,226,254
226,254,254,226
254,226,270,198
270,198,278,171
278,171,283,143
283,143,278,118
248,156,242,136
242,136,253,134
250,125,270,193
254,168,262,165
250,125,262,123
262,123,276,174
264,182,275,179
264,130,276,128
276,128,280,142
color,255,0,0
203,36,215,42
215,42,226,53
215,42,204,66
226,53,234,62
234,62,236,77
236,77,234,86
234,86,225,94
225,94,204,66
225,94,214,97
214,97,204,66
214,97,206,97
206,97,204,66
206,97,197,94
197,94,204,66
197,94,186,88
186,88,204,66
186,88,179,80
179,80,204,66
179,80,172,70
172,70,204,66
172,70,170,58
170,58,204,66
170,58,173,47
173,45,204,66
173,45,180,39
180,39,204,66
180,39,193,37
193,37,204,66
193,37,203,36
203,36,204,66
color,180,180,180
278,114,4,167
279,117,5,170
